,,avg down time per resource,aircraft,total down time,registration number,downs,total tail down time,avg tail down time,downed,upped,duration,downed reason,squawk,comments
01 January 2024 to 31 December 2024,Total Down Time:,267:33:00,SR-20,241062:35:00,WMU35 N481RA,32,7382:08:00,230:42:00,5/10/2024 17:40,5/13/2024 16:46,71:06:00,downed by ETA,50 Hr Inspect,Out of time
01 January 2024 to 31 December 2024,Total Down Time:,267:33:00,SR-20,241062:35:00,WMU35 N481RA,32,7382:08:00,230:42:00,6/13/2024 9:26,6/13/2024 9:31,0:05,Squawk,,Rh strobe inop
01 January 2024 to 31 December 2024,Total Down Time:,267:33:00,SR-20,241062:35:00,WMU35 N481RA,32,7382:08:00,230:42:00,6/27/2024 16:17,6/28/2024 12:58,20:41,downed by ETA,Engine,Right mag fault
01 January 2024 to 31 December 2024,Total Down Time:,267:33:00,SR-20,241062:35:00,WMU35 N481RA,32,7382:08:00,230:42:00,7/25/2024 16:53,7/31/2024 14:56,142:03:00,downed by ETA,Engine,Left mag dead
01 January 2024 to 31 December 2024,Total Down Time:,267:33:00,SR-20,241062:35:00,WMU35 N481RA,32,7382:08:00,230:42:00,7/31/2024 23:44,8/1/2024 8:44,9:00,Squawk,Other,egt maxed out
01 January 2024 to 31 December 2024,Total Down Time:,267:33:00,SR-20,241062:35:00,WMU35 N481RA,32,7382:08:00,230:42:00,6/18/2024 9:51,6/19/2024 15:20,29:29:00,downed by ETA,50 Hr Inspect,"Timed out, 1.0 left"
01 January 2024 to 31 December 2024,Total Down Time:,267:33:00,SR-20,241062:35:00,WMU35 N481RA,32,7382:08:00,230:42:00,8/20/2024 19:58,8/22/2024 11:57,39:59:00,downed by ETA,50 Hr Inspect,Timed out
01 January 2024 to 31 December 2024,Total Down Time:,267:33:00,SR-20,241062:35:00,WMU35 N481RA,32,7382:08:00,230:42:00,8/24/2024 15:02,8/26/2024 9:39,42:37:00,downed by ETA,Avionics,Auto pilot inop
01 January 2024 to 31 December 2024,Total Down Time:,267:33:00,SR-20,241062:35:00,WMU35 N481RA,32,7382:08:00,230:42:00,9/9/2024 11:52,10/2/2024 7:04,547:12:00,downed by ETA,50 Hr Inspect,Inspection
01 January 2024 to 31 December 2024,Total Down Time:,267:33:00,SR-20,241062:35:00,WMU35 N481RA,32,7382:08:00,230:42:00,8/19/2024 13:13,8/20/2024 16:34,27:21:00,Squawk,Engine,alt 1 failure
01 January 2024 to 31 December 2024,Total Down Time:,267:33:00,SR-20,241062:35:00,WMU35 N481RA,32,7382:08:00,230:42:00,8/30/2024 16:08,9/4/2024 8:00,111:52:00,downed by ETA,Engine,Engine roughness
01 January 2024 to 31 December 2024,Total Down Time:,267:33:00,SR-20,241062:35:00,WMU35 N481RA,32,7382:08:00,230:42:00,10/2/2024 9:05,,5233:20:00,Inspection,,engine change at AZO
01 January 2024 to 31 December 2024,Total Down Time:,267:33:00,SR-20,241062:35:00,WMU36 N22WU,37,3722:54:00,100:37:00,2/1/2024 17:19,2/5/2024 13:22,92:03:00,Squawk,,Fuel Pump Curve MX Flight w/ Woodside
01 January 2024 to 31 December 2024,Total Down Time:,267:33:00,SR-20,241062:35:00,WMU36 N22WU,37,3722:54:00,100:37:00,2/19/2024 16:28,2/19/2024 17:05,0:37,downed by ETA,Avionics,transponder not working
01 January 2024 to 31 December 2024,Total Down Time:,267:33:00,SR-20,241062:35:00,WMU36 N22WU,37,3722:54:00,100:37:00,3/27/2024 22:30,3/28/2024 9:15,10:45,Squawk,Avionics,AHRS 2 Miscompare for duration of flight
01 January 2024 to 31 December 2024,Total Down Time:,267:33:00,SR-20,241062:35:00,WMU36 N22WU,37,3722:54:00,100:37:00,2/5/2024 17:00,2/6/2024 10:40,17:40,Squawk,,Fuel pump replacement
01 January 2024 to 31 December 2024,Total Down Time:,267:33:00,SR-20,241062:35:00,WMU36 N22WU,37,3722:54:00,100:37:00,4/8/2024 12:48,4/8/2024 15:30,2:42,downed by ETA,Other,flaps position lever inop
01 January 2024 to 31 December 2024,Total Down Time:,267:33:00,SR-20,241062:35:00,WMU36 N22WU,37,3722:54:00,100:37:00,4/10/2024 8:20,4/13/2024 14:24,78:04:00,downed by ETA,50 Hr Inspect,time
01 January 2024 to 31 December 2024,Total Down Time:,267:33:00,SR-20,241062:35:00,WMU36 N22WU,37,3722:54:00,100:37:00,10/26/2023 9:09,2/1/2024 17:19,2360:10:00,Inspection,,NLG Strut Canned
01 January 2024 to 31 December 2024,Total Down Time:,267:33:00,SR-20,241062:35:00,WMU36 N22WU,37,3722:54:00,100:37:00,2/21/2024 19:37,2/23/2024 9:39,38:02:00,downed by ETA,50 Hr Inspect,Timed out
01 January 2024 to 31 December 2024,Total Down Time:,267:33:00,SR-20,241062:35:00,WMU36 N22WU,37,3722:54:00,100:37:00,3/4/2024 9:28,3/4/2024 10:25,0:57,downed by ETA,Other,"Inop com 1 and 2, could not transmit"
01 January 2024 to 31 December 2024,Total Down Time:,267:33:00,SR-20,241062:35:00,WMU36 N22WU,37,3722:54:00,100:37:00,3/7/2024 13:28,3/11/2024 9:12,91:44:00,downed by ETA,Engine,Leaking engine oil
01 January 2024 to 31 December 2024,Total Down Time:,267:33:00,SR-20,241062:35:00,WMU36 N22WU,37,3722:54:00,100:37:00,3/12/2024 18:00,3/13/2024 6:51,12:51,downed by ETA,Other,tail strike
01 January 2024 to 31 December 2024,Total Down Time:,267:33:00,SR-20,241062:35:00,WMU36 N22WU,37,3722:54:00,100:37:00,3/18/2024 9:06,3/20/2024 15:06,54:00:00,downed by ETA,50 Hr Inspect,Timed out
01 January 2024 to 31 December 2024,Total Down Time:,267:33:00,SR-20,241062:35:00,WMU36 N22WU,37,3722:54:00,100:37:00,6/6/2024 10:05,6/10/2024 13:18,99:13:00,Inspection,,#1 mags
01 January 2024 to 31 December 2024,Total Down Time:,267:33:00,SR-20,241062:35:00,WMU36 N22WU,37,3722:54:00,100:37:00,7/16/2024 19:06,7/18/2024 11:44,40:38:00,Inspection,50 Hr Inspect,timed out
01 January 2024 to 31 December 2024,Total Down Time:,267:33:00,SR-20,241062:35:00,WMU36 N22WU,37,3722:54:00,100:37:00,8/8/2024 15:54,8/9/2024 14:04,22:10,downed by ETA,Engine,Alt 2 fail
01 January 2024 to 31 December 2024,Total Down Time:,267:33:00,SR-20,241062:35:00,WMU36 N22WU,37,3722:54:00,100:37:00,4/29/2024 20:37,5/2/2024 8:15,59:38:00,downed by ETA,50 Hr Inspect,Timed Out
01 January 2024 to 31 December 2024,Total Down Time:,267:33:00,SR-20,241062:35:00,WMU36 N22WU,37,3722:54:00,100:37:00,6/26/2024 6:34,6/26/2024 15:41,9:07,Inspection,,#2 insp
01 January 2024 to 31 December 2024,Total Down Time:,267:33:00,SR-20,241062:35:00,WMU36 N22WU,37,3722:54:00,100:37:00,4/25/2024 7:07,4/25/2024 8:31,1:24,Squawk,,nose wheel shimmy
01 January 2024 to 31 December 2024,Total Down Time:,267:33:00,SR-20,241062:35:00,WMU36 N22WU,37,3722:54:00,100:37:00,8/14/2024 16:33,8/15/2024 8:52,16:19,downed by ETA,Engine,excessive mag drop
01 January 2024 to 31 December 2024,Total Down Time:,267:33:00,SR-20,241062:35:00,WMU36 N22WU,37,3722:54:00,100:37:00,5/17/2024 17:40,5/21/2024 11:54,90:14:00,downed by ETA,50 Hr Inspect,"1.2 hrs left, out of time"
01 January 2024 to 31 December 2024,Total Down Time:,267:33:00,SR-20,241062:35:00,WMU36 N22WU,37,3722:54:00,100:37:00,5/29/2024 15:41,5/30/2024 8:43,17:02,downed by ETA,Avionics,Transponder inop
01 January 2024 to 31 December 2024,Total Down Time:,267:33:00,SR-20,241062:35:00,WMU36 N22WU,37,3722:54:00,100:37:00,8/2/2024 14:56,8/5/2024 12:48,69:52:00,downed by ETA,50 Hr Inspect,Timed out
01 January 2024 to 31 December 2024,Total Down Time:,267:33:00,SR-20,241062:35:00,WMU36 N22WU,37,3722:54:00,100:37:00,5/2/2024 13:04,5/2/2024 16:05,3:01,downed by ETA,Other,transponder inop
01 January 2024 to 31 December 2024,Total Down Time:,267:33:00,SR-20,241062:35:00,WMU36 N22WU,37,3722:54:00,100:37:00,8/12/2024 9:42,8/12/2024 13:15,3:33,Squawk,,Tail Strike/Wheel pant insp
01 January 2024 to 31 December 2024,Total Down Time:,267:33:00,SR-20,241062:35:00,WMU36 N22WU,37,3722:54:00,100:37:00,8/26/2024 19:13,8/30/2024 13:13,90:00:00,downed by ETA,Engine,Dead mag
01 January 2024 to 31 December 2024,Total Down Time:,267:33:00,SR-20,241062:35:00,WMU36 N22WU,37,3722:54:00,100:37:00,8/19/2024 19:02,8/22/2024 14:20,67:18:00,downed by ETA,Avionics,Alt 2 low during flight and on ground
01 January 2024 to 31 December 2024,Total Down Time:,267:33:00,SR-20,241062:35:00,WMU36 N22WU,37,3722:54:00,100:37:00,9/3/2024 11:05,9/3/2024 21:09,10:04,downed by ETA,Engine,Right mag failure
01 January 2024 to 31 December 2024,Total Down Time:,267:33:00,SR-20,241062:35:00,WMU36 N22WU,37,3722:54:00,100:37:00,9/25/2024 22:29,9/26/2024 8:51,10:22,downed by ETA,Airframe,Bird strike
01 January 2024 to 31 December 2024,Total Down Time:,267:33:00,SR-20,241062:35:00,WMU36 N22WU,37,3722:54:00,100:37:00,11/6/2024 8:47,11/8/2024 12:26,51:39:00,Inspection,,#2 final
01 January 2024 to 31 December 2024,Total Down Time:,267:33:00,SR-20,241062:35:00,WMU36 N22WU,37,3722:54:00,100:37:00,9/7/2024 10:57,9/9/2024 8:32,45:35:00,downed by ETA,Airframe Damage,Tail Strike
01 January 2024 to 31 December 2024,Total Down Time:,267:33:00,SR-20,241062:35:00,WMU36 N22WU,37,3722:54:00,100:37:00,9/16/2024 15:59,9/18/2024 10:56,42:57:00,Inspection,,#2 Inspection
01 January 2024 to 31 December 2024,Total Down Time:,267:33:00,SR-20,241062:35:00,WMU36 N22WU,37,3722:54:00,100:37:00,10/10/2024 14:03,10/10/2024 16:17,2:14,Squawk,,starter inop
01 January 2024 to 31 December 2024,Total Down Time:,267:33:00,SR-20,241062:35:00,WMU36 N22WU,37,3722:54:00,100:37:00,9/9/2024 23:08,9/10/2024 8:25,9:17,downed by ETA,Other,bird strike
01 January 2024 to 31 December 2024,Total Down Time:,267:33:00,SR-20,241062:35:00,WMU36 N22WU,37,3722:54:00,100:37:00,10/4/2024 15:39,10/10/2024 13:47,142:08:00,Inspection,,#5
01 January 2024 to 31 December 2024,Total Down Time:,267:33:00,SR-20,241062:35:00,WMU36 N22WU,37,3722:54:00,100:37:00,12/9/2024 15:27,12/11/2024 7:04,39:37:00,downed by ETA,Avionics,Captain radio issue
01 January 2024 to 31 December 2024,Total Down Time:,267:33:00,SR-20,241062:35:00,WMU36 N22WU,37,3722:54:00,100:37:00,11/26/2024 10:27,11/26/2024 11:28,1:01,Squawk,,No crank
01 January 2024 to 31 December 2024,Total Down Time:,267:33:00,SR-20,241062:35:00,WMU36 N22WU,37,3722:54:00,100:37:00,11/26/2024 13:09,11/27/2024 8:05,18:56,Squawk,,
01 January 2024 to 31 December 2024,Total Down Time:,267:33:00,SR-20,241062:35:00,WMU37 N70RB,43,3654:02:00,84:59:00,2/1/2024 12:48,2/2/2024 15:13,26:25:00,downed by ETA,50 Hr Inspect,time
01 January 2024 to 31 December 2024,Total Down Time:,267:33:00,SR-20,241062:35:00,WMU37 N70RB,43,3654:02:00,84:59:00,2/20/2024 10:46,2/21/2024 10:16,23:30,downed by ETA,50 Hr Inspect,Time
01 January 2024 to 31 December 2024,Total Down Time:,267:33:00,SR-20,241062:35:00,WMU37 N70RB,43,3654:02:00,84:59:00,2/23/2024 11:12,2/23/2024 14:50,3:38,Squawk,Other,Airplane wasn't ready for test flight
01 January 2024 to 31 December 2024,Total Down Time:,267:33:00,SR-20,241062:35:00,WMU37 N70RB,43,3654:02:00,84:59:00,2/29/2024 13:51,2/29/2024 15:27,1:36,downed by ETA,Aircraft Malfunc,flaps
01 January 2024 to 31 December 2024,Total Down Time:,267:33:00,SR-20,241062:35:00,WMU37 N70RB,43,3654:02:00,84:59:00,3/29/2024 11:08,3/29/2024 11:21,0:13,downed by ETA,Other,power rpm 0
01 January 2024 to 31 December 2024,Total Down Time:,267:33:00,SR-20,241062:35:00,WMU37 N70RB,43,3654:02:00,84:59:00,3/29/2024 12:32,3/29/2024 13:51,1:19,Squawk,Other,tachometer
01 January 2024 to 31 December 2024,Total Down Time:,267:33:00,SR-20,241062:35:00,WMU37 N70RB,43,3654:02:00,84:59:00,2/22/2024 17:20,2/23/2024 10:20,17:00,downed by ETA,Engine,Engine bumpy
01 January 2024 to 31 December 2024,Total Down Time:,267:33:00,SR-20,241062:35:00,WMU37 N70RB,43,3654:02:00,84:59:00,3/15/2024 16:04,3/20/2024 17:39,121:35:00,downed by ETA,50 Hr Inspect,down for hours
01 January 2024 to 31 December 2024,Total Down Time:,267:33:00,SR-20,241062:35:00,WMU37 N70RB,43,3654:02:00,84:59:00,4/8/2024 10:50,4/8/2024 18:33,7:43,downed by ETA,Engine,oil pressure jumping between 58-78 when 1000rmp
01 January 2024 to 31 December 2024,Total Down Time:,267:33:00,SR-20,241062:35:00,WMU37 N70RB,43,3654:02:00,84:59:00,3/12/2024 14:06,3/14/2024 11:59,45:53:00,downed by ETA,Engine,High Oil pressure
01 January 2024 to 31 December 2024,Total Down Time:,267:33:00,SR-20,241062:35:00,WMU37 N70RB,43,3654:02:00,84:59:00,4/5/2024 16:40,4/8/2024 8:23,63:43:00,Squawk,,Oil Px issue
01 January 2024 to 31 December 2024,Total Down Time:,267:33:00,SR-20,241062:35:00,WMU37 N70RB,43,3654:02:00,84:59:00,2/12/2024 15:41,2/13/2024 14:12,22:31,downed by ETA,Avionics,low alt 2
01 January 2024 to 31 December 2024,Total Down Time:,267:33:00,SR-20,241062:35:00,WMU37 N70RB,43,3654:02:00,84:59:00,3/22/2024 11:04,3/22/2024 15:28,4:24,Squawk,,Hobbs
01 January 2024 to 31 December 2024,Total Down Time:,267:33:00,SR-20,241062:35:00,WMU37 N70RB,43,3654:02:00,84:59:00,5/2/2024 6:36,5/2/2024 9:07,2:31,downed by ETA,Engine,"Upon cruise, oil pressure in caution range. Peaked a few times at 65PSI. Would fluctuate back to normal. 65PSI at 12""MAP"
01 January 2024 to 31 December 2024,Total Down Time:,267:33:00,SR-20,241062:35:00,WMU37 N70RB,43,3654:02:00,84:59:00,7/13/2024 19:03,7/16/2024 9:58,62:55:00,downed by ETA,Other,nose wheel hard landing
01 January 2024 to 31 December 2024,Total Down Time:,267:33:00,SR-20,241062:35:00,WMU37 N70RB,43,3654:02:00,84:59:00,5/15/2024 15:49,5/17/2024 15:24,47:35:00,downed by ETA,50 Hr Inspect,time
01 January 2024 to 31 December 2024,Total Down Time:,267:33:00,SR-20,241062:35:00,WMU37 N70RB,43,3654:02:00,84:59:00,7/30/2024 12:57,7/31/2024 18:38,29:41:00,downed by ETA,50 Hr Inspect,time
01 January 2024 to 31 December 2024,Total Down Time:,267:33:00,SR-20,241062:35:00,WMU37 N70RB,43,3654:02:00,84:59:00,5/2/2024 13:56,5/7/2024 14:06,120:10:00,downed by ETA,Engine,elevated oil pressure from last flight
01 January 2024 to 31 December 2024,Total Down Time:,267:33:00,SR-20,241062:35:00,WMU37 N70RB,43,3654:02:00,84:59:00,5/30/2024 13:54,5/31/2024 16:46,26:52:00,downed by ETA,50 Hr Inspect,Timed out
01 January 2024 to 31 December 2024,Total Down Time:,267:33:00,SR-20,241062:35:00,WMU37 N70RB,43,3654:02:00,84:59:00,6/8/2024 10:34,6/8/2024 12:27,1:53,downed by ETA,Engine,alt 2 dropped to 2 amps
01 January 2024 to 31 December 2024,Total Down Time:,267:33:00,SR-20,241062:35:00,WMU37 N70RB,43,3654:02:00,84:59:00,6/24/2024 18:19,6/25/2024 15:28,21:09,downed by ETA,Other,Loose dipstick
01 January 2024 to 31 December 2024,Total Down Time:,267:33:00,SR-20,241062:35:00,WMU37 N70RB,43,3654:02:00,84:59:00,4/15/2024 20:00,4/19/2024 15:18,91:18:00,downed by ETA,50 Hr Inspect,Inpection
01 January 2024 to 31 December 2024,Total Down Time:,267:33:00,SR-20,241062:35:00,WMU37 N70RB,43,3654:02:00,84:59:00,6/20/2024 16:39,6/21/2024 11:30,18:51,Squawk,,Boost Pump
01 January 2024 to 31 December 2024,Total Down Time:,267:33:00,SR-20,241062:35:00,WMU37 N70RB,43,3654:02:00,84:59:00,7/9/2024 10:44,7/10/2024 14:54,28:10:00,downed by ETA,50 Hr Inspect,time
01 January 2024 to 31 December 2024,Total Down Time:,267:33:00,SR-20,241062:35:00,WMU37 N70RB,43,3654:02:00,84:59:00,6/14/2024 17:21,6/18/2024 13:43,92:22:00,downed by ETA,50 Hr Inspect,Out of time
01 January 2024 to 31 December 2024,Total Down Time:,267:33:00,SR-20,241062:35:00,WMU37 N70RB,43,3654:02:00,84:59:00,7/22/2024 8:38,7/24/2024 15:22,54:44:00,Squawk,,Kicking noise
01 January 2024 to 31 December 2024,Total Down Time:,267:33:00,SR-20,241062:35:00,WMU37 N70RB,43,3654:02:00,84:59:00,7/24/2024 16:05,7/25/2024 14:24,22:19,downed by ETA,Engine,Shudder
01 January 2024 to 31 December 2024,Total Down Time:,267:33:00,SR-20,241062:35:00,WMU37 N70RB,43,3654:02:00,84:59:00,8/29/2024 13:21,8/29/2024 14:06,0:45,downed by ETA,Other,Door latch broken
01 January 2024 to 31 December 2024,Total Down Time:,267:33:00,SR-20,241062:35:00,WMU37 N70RB,43,3654:02:00,84:59:00,9/20/2024 13:23,9/26/2024 13:32,144:09:00,downed by ETA,50 Hr Inspect,timed out
01 January 2024 to 31 December 2024,Total Down Time:,267:33:00,SR-20,241062:35:00,WMU37 N70RB,43,3654:02:00,84:59:00,9/26/2024 18:42,9/27/2024 8:15,13:33,downed by ETA,Aircraft Malfunc,flap stuck at 50
01 January 2024 to 31 December 2024,Total Down Time:,267:33:00,SR-20,241062:35:00,WMU37 N70RB,43,3654:02:00,84:59:00,9/27/2024 12:07,9/28/2024 9:50,21:43,downed by ETA,Avionics,standby attitude indicator not working
01 January 2024 to 31 December 2024,Total Down Time:,267:33:00,SR-20,241062:35:00,WMU37 N70RB,43,3654:02:00,84:59:00,10/1/2024 20:16,10/2/2024 11:27,15:11,downed by ETA,Engine,mag drop more than 200
01 January 2024 to 31 December 2024,Total Down Time:,267:33:00,SR-20,241062:35:00,WMU37 N70RB,43,3654:02:00,84:59:00,10/24/2024 14:01,10/28/2024 10:02,92:01:00,downed by ETA,50 Hr Inspect,timed out
01 January 2024 to 31 December 2024,Total Down Time:,267:33:00,SR-20,241062:35:00,WMU37 N70RB,43,3654:02:00,84:59:00,11/13/2024 10:55,11/18/2024 15:08,124:13:00,downed by ETA,Other,Unusual sound in climb coming from right main
01 January 2024 to 31 December 2024,Total Down Time:,267:33:00,SR-20,241062:35:00,WMU37 N70RB,43,3654:02:00,84:59:00,8/19/2024 6:54,8/20/2024 15:45,32:51:00,Inspection,,#4
01 January 2024 to 31 December 2024,Total Down Time:,267:33:00,SR-20,241062:35:00,WMU37 N70RB,43,3654:02:00,84:59:00,8/22/2024 14:56,8/22/2024 16:00,1:04,downed by ETA,Other,Flat tire
01 January 2024 to 31 December 2024,Total Down Time:,267:33:00,SR-20,241062:35:00,WMU37 N70RB,43,3654:02:00,84:59:00,10/4/2024 16:20,10/7/2024 15:44,71:24:00,downed by ETA,Engine,Batt inop
01 January 2024 to 31 December 2024,Total Down Time:,267:33:00,SR-20,241062:35:00,WMU37 N70RB,43,3654:02:00,84:59:00,9/4/2024 8:14,9/5/2024 15:59,31:45:00,Inspection,,#2 insp
01 January 2024 to 31 December 2024,Total Down Time:,267:33:00,SR-20,241062:35:00,WMU37 N70RB,43,3654:02:00,84:59:00,9/7/2024 21:21,9/9/2024 17:11,43:50:00,Squawk,,Nose wheel fairing damage from towbar
01 January 2024 to 31 December 2024,Total Down Time:,267:33:00,SR-20,241062:35:00,WMU37 N70RB,43,3654:02:00,84:59:00,10/2/2024 18:35,10/4/2024 7:53,37:18:00,downed by ETA,Aircraft Malfunc,Alt 2 Failure
01 January 2024 to 31 December 2024,Total Down Time:,267:33:00,SR-20,241062:35:00,WMU37 N70RB,43,3654:02:00,84:59:00,10/10/2024 10:45,10/11/2024 14:14,27:29:00,downed by ETA,Engine,Engine roughness
01 January 2024 to 31 December 2024,Total Down Time:,267:33:00,SR-20,241062:35:00,WMU37 N70RB,43,3654:02:00,84:59:00,11/26/2024 14:41,2/18/2025 14:40,2015:59:00,downed by ETA,Engine,Engine noise
01 January 2024 to 31 December 2024,Total Down Time:,267:33:00,SR-20,241062:35:00,WMU37 N70RB,43,3654:02:00,84:59:00,11/18/2024 15:08,11/19/2024 11:55,20:47,downed by ETA,Other,Adjustments
01 January 2024 to 31 December 2024,Total Down Time:,267:33:00,SR-20,241062:35:00,WMU38 N746TM,28,1321:03:00,47:11:00,2/12/2024 14:04,2/14/2024 15:33,49:29:00,downed by ETA,50 Hr Inspect,down for hours
01 January 2024 to 31 December 2024,Total Down Time:,267:33:00,SR-20,241062:35:00,WMU38 N746TM,28,1321:03:00,47:11:00,2/20/2024 19:38,2/21/2024 11:35,15:57,downed by ETA,Propeller,prop over speed
01 January 2024 to 31 December 2024,Total Down Time:,267:33:00,SR-20,241062:35:00,WMU38 N746TM,28,1321:03:00,47:11:00,3/21/2024 7:02,3/21/2024 9:09,2:07,Squawk,,standby attitude light inop
01 January 2024 to 31 December 2024,Total Down Time:,267:33:00,SR-20,241062:35:00,WMU38 N746TM,28,1321:03:00,47:11:00,2/27/2024 13:21,2/29/2024 10:48,45:27:00,downed by ETA,50 Hr Inspect,Timed out
01 January 2024 to 31 December 2024,Total Down Time:,267:33:00,SR-20,241062:35:00,WMU38 N746TM,28,1321:03:00,47:11:00,3/21/2024 11:42,3/22/2024 13:38,25:56:00,downed by ETA,50 Hr Inspect,Down for inspection
01 January 2024 to 31 December 2024,Total Down Time:,267:33:00,SR-20,241062:35:00,WMU38 N746TM,28,1321:03:00,47:11:00,5/22/2024 13:26,5/23/2024 13:55,24:29:00,Squawk,Engine,"High oil temp, drop in oil press, erratic engine idle"
01 January 2024 to 31 December 2024,Total Down Time:,267:33:00,SR-20,241062:35:00,WMU38 N746TM,28,1321:03:00,47:11:00,6/25/2024 6:45,7/2/2024 13:55,175:10:00,Inspection,,#5 inspection
01 January 2024 to 31 December 2024,Total Down Time:,267:33:00,SR-20,241062:35:00,WMU38 N746TM,28,1321:03:00,47:11:00,7/25/2024 15:33,7/29/2024 13:21,93:48:00,downed by ETA,50 Hr Inspect,time down
01 January 2024 to 31 December 2024,Total Down Time:,267:33:00,SR-20,241062:35:00,WMU38 N746TM,28,1321:03:00,47:11:00,4/16/2024 8:50,4/18/2024 14:01,53:11:00,downed by ETA,50 Hr Inspect,Phase #2 (2nd) Engine/Propeller Detail
01 January 2024 to 31 December 2024,Total Down Time:,267:33:00,SR-20,241062:35:00,WMU38 N746TM,28,1321:03:00,47:11:00,5/6/2024 16:26,5/10/2024 8:19,87:53:00,Inspection,50 Hr Inspect,Timed Out
01 January 2024 to 31 December 2024,Total Down Time:,267:33:00,SR-20,241062:35:00,WMU38 N746TM,28,1321:03:00,47:11:00,7/17/2024 18:34,7/18/2024 11:12,16:38,downed by ETA,Other,transponder code not showing correctly to atc
01 January 2024 to 31 December 2024,Total Down Time:,267:33:00,SR-20,241062:35:00,WMU38 N746TM,28,1321:03:00,47:11:00,7/19/2024 9:08,7/19/2024 11:46,2:38,downed by ETA,Engine,Severe engine roughness during touch and go
01 January 2024 to 31 December 2024,Total Down Time:,267:33:00,SR-20,241062:35:00,WMU38 N746TM,28,1321:03:00,47:11:00,7/31/2024 17:15,8/1/2024 14:16,21:01,downed by ETA,Engine,engine roughness
01 January 2024 to 31 December 2024,Total Down Time:,267:33:00,SR-20,241062:35:00,WMU38 N746TM,28,1321:03:00,47:11:00,8/14/2024 11:17,8/19/2024 18:34,127:17:00,downed by ETA,50 Hr Inspect,Timed
01 January 2024 to 31 December 2024,Total Down Time:,267:33:00,SR-20,241062:35:00,WMU38 N746TM,28,1321:03:00,47:11:00,5/23/2024 18:24,5/31/2024 11:48,185:24:00,downed by ETA,50 Hr Inspect,Time
01 January 2024 to 31 December 2024,Total Down Time:,267:33:00,SR-20,241062:35:00,WMU38 N746TM,28,1321:03:00,47:11:00,6/18/2024 18:21,6/19/2024 9:49,15:28,downed by ETA,Other,flaps overspeed
01 January 2024 to 31 December 2024,Total Down Time:,267:33:00,SR-20,241062:35:00,WMU38 N746TM,28,1321:03:00,47:11:00,7/12/2024 7:05,7/13/2024 12:27,29:22:00,Squawk,,LH IFD
01 January 2024 to 31 December 2024,Total Down Time:,267:33:00,SR-20,241062:35:00,WMU38 N746TM,28,1321:03:00,47:11:00,8/1/2024 15:39,8/2/2024 10:35,18:56,downed by ETA,Other,further checks
01 January 2024 to 31 December 2024,Total Down Time:,267:33:00,SR-20,241062:35:00,WMU38 N746TM,28,1321:03:00,47:11:00,7/31/2024 7:28,7/31/2024 8:09,0:41,Squawk,,R position light inop
01 January 2024 to 31 December 2024,Total Down Time:,267:33:00,SR-20,241062:35:00,WMU38 N746TM,28,1321:03:00,47:11:00,10/5/2024 10:25,10/8/2024 14:33,76:08:00,downed by ETA,50 Hr Inspect,Timed out
01 January 2024 to 31 December 2024,Total Down Time:,267:33:00,SR-20,241062:35:00,WMU38 N746TM,28,1321:03:00,47:11:00,10/11/2024 14:18,10/11/2024 14:38,0:20,downed by ETA,Other,flap overspeed
01 January 2024 to 31 December 2024,Total Down Time:,267:33:00,SR-20,241062:35:00,WMU38 N746TM,28,1321:03:00,47:11:00,9/4/2024 9:54,9/6/2024 11:54,50:00:00,downed by ETA,50 Hr Inspect,timed out
01 January 2024 to 31 December 2024,Total Down Time:,267:33:00,SR-20,241062:35:00,WMU38 N746TM,28,1321:03:00,47:11:00,9/27/2024 7:21,9/27/2024 9:42,2:21,downed by ETA,Engine,mag 220 drop
01 January 2024 to 31 December 2024,Total Down Time:,267:33:00,SR-20,241062:35:00,WMU38 N746TM,28,1321:03:00,47:11:00,10/25/2024 6:47,10/29/2024 8:58,98:11:00,Inspection,,#4
01 January 2024 to 31 December 2024,Total Down Time:,267:33:00,SR-20,241062:35:00,WMU38 N746TM,28,1321:03:00,47:11:00,11/12/2024 20:06,11/13/2024 10:23,14:17,downed by ETA,Airframe,Exhaust pipe malfunction
01 January 2024 to 31 December 2024,Total Down Time:,267:33:00,SR-20,241062:35:00,WMU38 N746TM,28,1321:03:00,47:11:00,9/18/2024 17:08,9/19/2024 13:44,20:36,Inspection,,#3 Inspection
01 January 2024 to 31 December 2024,Total Down Time:,267:33:00,SR-20,241062:35:00,WMU38 N746TM,28,1321:03:00,47:11:00,11/22/2024 8:46,11/22/2024 12:07,3:21,Squawk,,Glareshield
01 January 2024 to 31 December 2024,Total Down Time:,267:33:00,SR-20,241062:35:00,WMU38 N746TM,28,1321:03:00,47:11:00,12/6/2024 17:43,12/9/2024 10:40,64:57:00,downed by ETA,50 Hr Inspect,Timed out
01 January 2024 to 31 December 2024,Total Down Time:,267:33:00,SR-20,241062:35:00,WMU39 N54SJ,26,5704:15:00,219:24:00,1/21/2024 15:18,3/12/2024 9:04,1217:46:00,downed by ETA,Avionics,adahrs 1 fault
01 January 2024 to 31 December 2024,Total Down Time:,267:33:00,SR-20,241062:35:00,WMU39 N54SJ,26,5704:15:00,219:24:00,3/12/2024 14:53,3/12/2024 14:58,0:05,Squawk,,L strobe inop.
