,,avg down time per resource,aircraft,total down time,registration number,downs,total tail down time,avg tail down time,downed,upped,duration,downed reason,squawk,comments
01 January 2024 to 31 December 2024,Total Down Time:,267:33:00,SR-20,241062:35:00,WMU31 N1281,31,2183:49:00,70:27:00,9/27/2024 17:27,10/1/2024 13:21,91:54:00,downed by ETA,50 Hr Inspect,Timed out
01 January 2024 to 31 December 2024,Total Down Time:,267:33:00,SR-20,241062:35:00,WMU31 N1281,31,2183:49:00,70:27:00,10/14/2024 17:19,10/16/2024 16:59,47:40:00,downed by ETA,50 Hr Inspect,Timed out
01 January 2024 to 31 December 2024,Total Down Time:,267:33:00,SR-20,241062:35:00,WMU31 N1281,31,2183:49:00,70:27:00,10/23/2024 21:37,10/24/2024 11:44,14:07,downed by ETA,Other,Pitot heat cautions while pitot heat was engaged
01 January 2024 to 31 December 2024,Total Down Time:,267:33:00,SR-20,241062:35:00,WMU31 N1281,31,2183:49:00,70:27:00,12/10/2024 17:35,1/9/2025 15:20,717:45:00,Inspection,,Rocket/Chute R2
01 January 2024 to 31 December 2024,Total Down Time:,267:33:00,SR-20,241062:35:00,WMU32 N48TG,19,4486:27:00,236:08:00,2/14/2024 10:10,2/19/2024 7:39,117:29:00,Squawk,,autopilot
01 January 2024 to 31 December 2024,Total Down Time:,267:33:00,SR-20,241062:35:00,WMU32 N48TG,19,4486:27:00,236:08:00,2/9/2024 19:46,2/12/2024 8:48,61:02:00,downed by ETA,Annual Inspect,autopilot oscillation
01 January 2024 to 31 December 2024,Total Down Time:,267:33:00,SR-20,241062:35:00,WMU32 N48TG,19,4486:27:00,236:08:00,2/13/2024 15:16,2/14/2024 7:43,16:27,Squawk,,awt mx flt
01 January 2024 to 31 December 2024,Total Down Time:,267:33:00,SR-20,241062:35:00,WMU32 N48TG,19,4486:27:00,236:08:00,2/19/2024 10:08,2/20/2024 13:55,27:47:00,downed by ETA,Other,Pitch trim
01 January 2024 to 31 December 2024,Total Down Time:,267:33:00,SR-20,241062:35:00,WMU32 N48TG,19,4486:27:00,236:08:00,3/13/2024 12:25,3/19/2024 7:47,139:22:00,downed by ETA,Avionics,AP
01 January 2024 to 31 December 2024,Total Down Time:,267:33:00,SR-20,241062:35:00,WMU32 N48TG,19,4486:27:00,236:08:00,3/1/2024 11:38,3/13/2024 9:33,285:55:00,downed by ETA,Aircraft Malfunc,Autopilot Malfunction
01 January 2024 to 31 December 2024,Total Down Time:,267:33:00,SR-20,241062:35:00,WMU32 N48TG,19,4486:27:00,236:08:00,2/12/2024 16:29,2/13/2024 14:13,21:44,downed by ETA,Other,mx down for autopilot
01 January 2024 to 31 December 2024,Total Down Time:,267:33:00,SR-20,241062:35:00,WMU32 N48TG,19,4486:27:00,236:08:00,2/20/2024 15:10,3/1/2024 7:49,232:39:00,downed by ETA,Other,trim
01 January 2024 to 31 December 2024,Total Down Time:,267:33:00,SR-20,241062:35:00,WMU32 N48TG,19,4486:27:00,236:08:00,3/21/2024 13:48,3/25/2024 16:56,99:08:00,downed by ETA,50 Hr Inspect,Time run out
